Tennessee	12	123108	44.95	-	145240	53.03	12	3844	1.40	-	346	0.13	-	1322	0.48	-	-	-	-	-22132	-8.08	273860	TN
Texas	15	130641	30.83	-	267432	63.12	15	2644	0.62	-	1846	0.44	-	20981	4.95	-	162	0.04	-	-136791	-32.28	423706	TX
Utah	3	47139	50.58	3	45006	48.30	-	209	0.22	-	720	0.77	-	-	-	-	106	0.11	-	2133	2.29	93189	UT
Vermont	4	42569	75.73	4	12849	22.86	-	383	0.68	-	39	0.07	-	367	0.65	-	-	-	-	29720	52.87	56212	VT
Virginia	12	115769	43.82	-	146079	55.29	12	2130	0.81	-	-	-	-	63	0.02	-	167	0.06	-	-30310	-11.47	264208	VA
Washington	4	57456	53.44	4	44833	41.70	-	2363	2.20	-	2006	1.87	-	-	-	-	866	0.81	-	12623	11.74	107524	WA
West Virginia	6	119829	54.27	6	98807	44.75	-	1628	0.74	-	286	0.13	-	246	0.11	-	-	-	-	21022	9.52	220796	WV
Wisconsin	12	265760	60.06	12	159163	35.97	-	10027	2.27	-	7048	1.59	-	-	-	-	503	0.11	-	106597	24.09	442501	WI
Wyoming	3	14482	58.66	3	10164	41.17	-	-	-	-	21	0.09	-	20	0.08	-	-	-	-	4318	17.49	24687	WY
#TOTALS:	447	7228864	51.64	292	6370932	45.52	155	210867	1.51	-	87945	0.63	-	50989	0.36	-	40943	0.29	-	857932	6.13	13997429	US
